siren,denominationUniteLegale,activitePrincipaleUniteLegale,categorieEntreprise,libelle_naf
562024422,CMA CGM,50.20Z,GE,Transports maritimes et côtiers de fret
562033068,JANSSEN CILAG,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
562033175,ATELIERS VCA,32.12Z,GE,Fabrication d’articles de joaillerie et bijouterie
562033357,SCOR SE,65.20Z,GE,Réassurance
562038745,MONNOYEUR,70.10Z,GE,Activités des sièges sociaux
562038893,BAYER SAS,20.20Z,GE,Fabrication de pesticides et d’autres produits agrochimiques
562046151,SOVEN,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
562050401,URBAINE DES PETROLES,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
562053173,ATLANTIC SOC FRANCAISE DEVELOP THERMIQUE,46.43Z,GE,Commerce de gros (commerce interentreprises) d'appareils électroménagers
562082909,SAFRAN,70.10Z,GE,Activités des sièges sociaux
562091546,BOUYGUES IMMOBILIER,41.10A,GE,Promotion immobilière de logements
562094425,ARCELORMITTAL FRANCE,24.10Z,GE,Sidérurgie
562134544,SOLETANCHE FREYSSINET,70.10Z,GE,Activités des sièges sociaux
562136036,RAZEL-BEC,42.99Z,GE,Construction d'autres ouvrages de génie civil n.c.a.
568504161,SCHAEFFLER FRANCE,29.32Z,ETI,Fabrication d'autres équipements automobiles
570501551,ASTERA,64.20Z,GE,Activités des sociétés holding
572015246,BOUYGUES,70.10Z,GE,Activités des sièges sociaux
572025526,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX,36.00Z,GE,"Captage, traitement et distribution d'eau"
572034361,CELINE,46.49Z,GE,Commerce de gros (commerce interentreprises) d'autres biens domestiques
572060333,MERSEN,70.10Z,ETI,Activités des sièges sociaux
572062594,GALERIES LAFAYETTE HAUSSMANN - GL HAUSSMANN,47.71Z,GE,Commerce de détail d'habillement en magasin spécialisé
572067684,ROBERT BOSCH FRANCE,29.32Z,GE,Fabrication d'autres équipements automobiles
572076396,HERMES INTERNATIONAL,70.10Z,GE,Activités des sièges sociaux
572093920,AXA,64.30Z,GE,Fonds de placement et entités financières similaires
572099695,CARGILL FRANCE,10.41A,GE,Fabrication d'huiles et graisses brutes
572119550,SUCRES ET DENREES,46.36Z,GE,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie"
572126043,ANTARGAZ,46.71Z,GE,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
572139996,AUTOROUTES DU SUD DE LA FRANCE,52.21Z,GE,Services auxiliaires des transports terrestres
572141885,DISTRIBUTION SANITAIRE CHAUFFAGE,46.74B,GE,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage
572174035,WENDEL,70.22Z,GE,Conseil pour les affaires et autres conseils de gestion
572185684,CLUB MED,55.20Z,GE,Hébergement touristique et autre hébergement de courte durée
576850697,SOCIETE L.D.C.,70.10Z,GE,Activités des sièges sociaux
582041943,PERNOD RICARD,70.10Z,GE,Activités des sièges sociaux
582074944,ICADE,68.20B,GE,Location de terrains et d'autres biens immobiliers
582110987,CHRISTIAN DIOR,64.20Z,GE,Activités des sociétés holding
582137436,PHOENIX OCP,46.46Z,GE,Commerce de gros (commerce interentreprises) de produits pharmaceutiques
588505354,CAISSE FEDERALE DE CREDIT MUTUEL SOCIETE A MISSION (APPLICATION LOI PACTE),64.19Z,GE,Autres intermédiations monétaires
592045777,MOTIER,70.10Z,GE,Activités des sièges sociaux
596720201,PISSIER,46.21Z,PME,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
596950139,SOC CENTRALE APPROVISION SUD OUEST,46.17A,ETI,Centrales d'achat alimentaires
599815073,AXENS,20.59Z,ETI,Fabrication d'autres produits chimiques n.c.a.
775577018,CREDIT MUTUEL ARKEA,64.19Z,GE,Autres intermédiations monétaires
775583248,MAISON JOHANES BOUBEE,46.34Z,GE,Commerce de gros (commerce interentreprises) de boissons
775614308,KRONENBOURG,46.34Z,ETI,Commerce de gros (commerce interentreprises) de boissons
775625767,FINANCIERE AGACHE,64.20Z,GE,Activités des sociétés holding
775633357,LIMAGRAIN,01.11Z,,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
775656143,LECUREUR,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
775661390,FNAC DARTY PARTICIPATIONS ET SERVICES,46.19A,GE,Centrales d'achat non alimentaires
775662257,SANOFI WINTHROP INDUSTRIE,21.20Z,GE,Fabrication de préparations pharmaceutiques
775664873,BOUYGUES ENERGIES & SERVICES,43.21B,GE,Travaux d'installation électrique sur la voie publique
775668122,BALENCIAGA,46.42Z,GE,Commerce de gros (commerce interentreprises) d'habillement et de chaussures
775670284,HSBC CONTINENTAL EUROPE,64.19Z,GE,Autres intermédiations monétaires
775670417,LVMH MOET HENNESSY LOUIS VUITTON,70.10Z,GE,Activités des sièges sociaux
775675291,GROUPE SERVICES FRANCE,82.99Z,GE,Autres activités de soutien aux entreprises n.c.a.
775690191,UNION INVIVO,46.75Z,GE,Commerce de gros (commerce interentreprises) de produits chimiques
775690621,BUREAU VERITAS,71.20B,GE,"Analyses, essais et inspections techniques"
775701097,SOCIETE COOPERATIVE AGRICOLE NATUP,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
775714991,CAVAC,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
775715592,OCEALIA,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
775726417,KPMG,69.20Z,GE,Activités comptables
775729155,IFP ENERGIES NOUVELLES,72.19Z,ETI,Recherche-développement en autres sciences physiques et naturelles
775784689,SOCIETE COOPERATIVE AGRICOLE ARTERRIS,46.21Z,ETI,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail"
776221467,GROUPE BIGARD,10.11Z,GE,Transformation et conservation de la viande de boucherie
777347386,PICOTY,46.71Z,ETI,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
789169323,LES MOUSQUETAIRES,64.20Z,GE,Activités des sociétés holding
789791464,CEVA LOGISTICS GROUND & RAIL FRANCE,52.29B,GE,Affrètement et organisation des transports
789991221,SOCO 1,70.22Z,GE,Conseil pour les affaires et autres conseils de gestion
801795618,FINANCIERE MENDEL,64.20Z,ETI,Activités des sociétés holding
802525048,CASAVITA,70.10Z,,Activités des sièges sociaux
813979523,VIVALTO SANTE INVESTISSEMENT,64.20Z,GE,Activités des sociétés holding
835150434,CANAL+,59.11A,GE,Production de films et de programmes pour la télévision
850176967,ARTELIA GLOBAL,64.20Z,ETI,Activités des sociétés holding
850479718,ABN AMRO BANK NV,64.19Z,ETI,Autres intermédiations monétaires
884245408,MOBILUX CONFO,64.20Z,GE,Activités des sociétés holding
954503439,SCHNEIDER ELECTRIC INDUSTRIES SAS,46.69A,GE,Commerce de gros (commerce interentreprises) de matériel électrique
954506077,RENAULT TRUCKS,29.10Z,GE,Construction de véhicules automobiles
954509741,CREDIT LYONNAIS,64.19Z,GE,Autres intermédiations monétaires
955200928,ALTAIR,70.10Z,ETI,Activités des sièges sociaux
955500293,VALEO EQUIPEMENTS ELECTRIQUES MOTEUR,29.31Z,GE,Fabrication d'équipements électriques et électroniques automobiles
955501036,DESCOURS ET CABAUD SA,77.40Z,GE,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright"
955512611,OPMOBILITY SE,70.10Z,ETI,Activités des sièges sociaux
957503931,MAGASINS GALERIES LAFAYETTE,47.71Z,GE,Commerce de détail d'habillement en magasin spécialisé
957520901,COMPAGNIE NATIONALE DU RHONE,35.11Z,GE,Production d'électricité
962227351,AUTODISTRIBUTION,45.31Z,GE,Commerce de gros d'équipements automobiles
964201123,INTERSPORT FRANCE,46.19A,ETI,Centrales d'achat non alimentaires
964201149,GROUPE INTERSPORT,46.19A,,Centrales d'achat non alimentaires
967505967,JTEKT EUROPE,29.32Z,ETI,Fabrication d'autres équipements automobiles
969202241,VIRIDIEN,70.10Z,ETI,Activités des sièges sociaux
969510940,ALUMINIUM PECHINEY,71.12B,,"Ingénierie, études techniques"
63802938,PANDROL RAILWELD,42.12Z,ETI,Construction de voies ferrées de surface et souterraines
85480796,LES LABORATOIRES SERVIER,21.20Z,GE,Fabrication de préparations pharmaceutiques
86120045,SOCIETE PRODUITS PETROLIERS STELA,46.71Z,,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes
86280393,JOHN DEERE SAS,28.11Z,ETI,"Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules"
86380730,SOGECAP,65.11Z,GE,Assurance vie
95550356,EXEL INDUSTRIES,70.10Z,ETI,Activités des sièges sociaux
95720314,HEXAOM,41.10A,ETI,Promotion immobilière de logements
