siren,date_cloture_exercice,annee_exercice,Chiffre_d_affaires,Resultat_net,marge_nette_clean,croissance_CA_clean,segment_CA,type_bilan,periode_analyse_valide,outlier_financier
712019538,2017-12-31,2017,2122381000,201660000,0.09501592786592039,0.042645998274686424,Grande entreprise,C,1,0
712019538,2018-12-31,2018,2122381000,201660000,0.09501592786592039,0.0,Grande entreprise,C,1,0
712019538,2019-12-31,2019,2264206000,241994000,0.10687808441458065,0.06682353451147556,Grande entreprise,C,1,0
712019538,2020-12-31,2020,1506676000,127004000,0.08429416808922423,-0.33456761443084243,Entreprise milliardaire,C,1,0
712019538,2021-12-31,2021,1435713000,136616000,0.09515550809946,-0.047099044519193244,Entreprise milliardaire,C,1,0
712019538,2022-12-31,2022,1435713000,136616000,0.09515550809946,0.0,Entreprise milliardaire,C,1,0
712019538,2023-12-31,2023,2073865000,171437000,0.0826654579733975,0.44448437814521424,Grande entreprise,C,1,0
712019538,2024-12-31,2024,2073865000,197700000,0.09532925238624501,0.0,Grande entreprise,C,1,0
712039163,2016-12-31,2016,36788000000,2070000000,0.05626834837446994,,Très grande entreprise,K,1,0
712039163,2017-12-31,2017,38642000000,173000000,0.004476993944412815,0.050396868544090465,Très grande entreprise,K,1,0
712039163,2018-12-31,2018,37507000000,-61000000,-0.00162636307889194,-0.029372185704673672,Très grande entreprise,K,1,0
712039163,2019-12-31,2019,34463000000,-1539000000,-0.04465658822505295,-0.08115818380568961,Très grande entreprise,K,1,0
712039163,2020-12-31,2020,31928000000,8000000,0.00025056376847907793,-0.07355714824594492,Très grande entreprise,K,1,0
712039163,2021-12-31,2021,30566000000,0,0.0,-0.042658481583563015,Très grande entreprise,K,1,0
712039163,2022-12-31,2022,33627000000,0,0.0,0.10014395079500098,Très grande entreprise,K,1,0
718200611,2023-12-31,2023,1051690161,616272,0.000585982471694912,,Entreprise milliardaire,C,1,0
718200611,2024-12-31,2024,1101911538,428915,0.0003892463098975192,0.04775301591891568,Entreprise milliardaire,C,1,0
758501001,2023-12-31,2023,1082000000,986000000,0.911275415896488,,Entreprise milliardaire,S,1,0
